Handle,Title,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,SKU,HS Code,COO,Shop location,My Custom Location,Snow City Warehouse
converse-chuck-taylor-all-star-ii-hi,CONVERSE | CHUCK TAYLOR ALL STAR II HI,Size,6,Color,black,,,C-02-6-black,,,52,not stocked,not stocked
converse-chuck-taylor-all-star-ii-hi,CONVERSE | CHUCK TAYLOR ALL STAR II HI,Size,7,Color,black,,,C-02-7-black,,,52,not stocked,not stocked
converse-chuck-taylor-all-star-ii-hi,CONVERSE | CHUCK TAYLOR ALL STAR II HI,Size,9,Color,black,,,C-02-9-black,,,52,not stocked,not stocked
converse-chuck-taylor-all-star-ii-hi,CONVERSE | CHUCK TAYLOR ALL STAR II HI,Size,11,Color,black,,,C-02-11-black,,,52,not stocked,not stocked
converse-chuck-taylor-all-star-ii-hi,CONVERSE | CHUCK TAYLOR ALL STAR II HI,Size,13,Color,black,,,C-02-13-black,,,52,not stocked,not stocked
converse-toddler-chuck-taylor-all-star-axel-mid,CONVERSE | TODDLER CHUCK TAYLOR ALL STAR AXEL MID,Size,5,Color,black,,,C-03-5-black,,,36,not stocked,not stocked
converse-toddler-chuck-taylor-all-star-axel-mid,CONVERSE | TODDLER CHUCK TAYLOR ALL STAR AXEL MID,Size,6,Color,black,,,C-03-6-black,,,36,not stocked,not stocked
converse-toddler-chuck-taylor-all-star-axel-mid,CONVERSE | TODDLER CHUCK TAYLOR ALL STAR AXEL MID,Size,7,Color,black,,,C-03-7-black,,,36,not stocked,not stocked
converse-toddler-chuck-taylor-all-star-axel-mid,CONVERSE | TODDLER CHUCK TAYLOR ALL STAR AXEL MID,Size,8,Color,black,,,C-03-8-black,,,36,not stocked,not stocked
converse-toddler-chuck-taylor-all-star-axel-mid,CONVERSE | TODDLER CHUCK TAYLOR ALL STAR AXEL MID,Size,9,Color,black,,,C-03-9-black,,,36,not stocked,not stocked
nike-toddler-roshe-one,NIKE | TODDLER ROSHE ONE,Size,4,Color,black,,,NK-02-4-black,,,20,not stocked,not stocked
nike-toddler-roshe-one,NIKE | TODDLER ROSHE ONE,Size,7,Color,black,,,NK-02-7-black,,,20,not stocked,not stocked
adidas-kids-stan-smith,ADIDAS | KID'S STAN SMITH,Size,1,Color,white,,,AD-02-1-white,,,30,not stocked,not stocked
adidas-kids-stan-smith,ADIDAS | KID'S STAN SMITH,Size,2,Color,white,,,AD-02-2-white,,,30,not stocked,not stocked
vans-apparel-and-accessories-classic-super-no-show-socks-3-pack-white,VANS APPAREL AND ACCESSORIES | CLASSIC SUPER NO SHOW SOCKS 3 PACK WHITE,Size,9.5-13,Color,white,,,VN-10-9.5-13-white,,,21,not stocked,not stocked
herschel-iona,HERSCHEL | IONA,Size,OS,Color,black,,,H-01-OS-black,,,20,not stocked,not stocked
flex-fit-mini-ottoman-black,FLEX FIT | MINI OTTOMAN BLACK,Size,s,Color,black,,,FF-01-s-black,,,5,not stocked,not stocked
flex-fit-mini-ottoman-black,FLEX FIT | MINI OTTOMAN BLACK,Size,m,Color,black,,,FF-01-m-black,,,5,not stocked,not stocked
flex-fit-mini-ottoman-black,FLEX FIT | MINI OTTOMAN BLACK,Size,l,Color,black,,,FF-01-l-black,,,5,not stocked,not stocked
flex-fit-mini-ottoman-black,FLEX FIT | MINI OTTOMAN BLACK,Size,xl,Color,black,,,FF-01-xl-black,,,5,not stocked,not stocked
nike-swoosh-pro-flat-peak-cap,NIKE | SWOOSH PRO FLAT PEAK CAP,Size,OS,Color,white,,,NK-03-OS-white,,,40,not stocked,not stocked
adidas-classic-backpack,ADIDAS | CLASSIC BACKPACK,Size,OS,Color,black,,,AD-03-OS-black,,,30,not stocked,not stocked
adidas-classic-backpack-legend-ink-multicolour,ADIDAS | CLASSIC BACKPACK | LEGEND INK MULTICOLOUR,Size,OS,Color,blue,,,"AD-04
-OS-blue",,,30,not stocked,not stocked
mint-limeade,Mint Limeade,Title,Default Title,,,,,"",,,5000,0,not stocked
raspberry-yuzu-1,Raspberry Yuzu,Title,Default Title,,,,,"",,,5000,0,not stocked
mango-key-lime,Mango Lime,Title,Default Title,,,,,"",,,5000,0,not stocked
peach-passion,Peach Passion,Title,Default Title,,,,,"",,,5000,0,not stocked
lemon-original,Lemon Original,Title,Default Title,,,,,"",,,5000,0,not stocked
xx,xx,Title,Default Title,,,,,"",,,0,0,not stocked
bubdle-products,bubdle products,Title,Default Title,,,,,"",,,0,not stocked,not stocked
dsewfcfvcfdgbvfdgvb-fg,dsewfcfvcfdgbvfdgvb fg,Title,Default Title,,,,,"",,,0,0,not stocked
gfh-t,gfh t,Title,Default Title,,,,,"",,,0,0,not stocked
short-tom,short tom,Title,Default Title,,,,,"",,,0,0,not stocked
