Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,base-chair-redirect (product.metafields.custom.base_chair_redirect),custom-chair-product (product.metafields.custom.custom_chair_product),Custom-Product-field (product.metafields.custom.custom_product_field),ddd (product.metafields.custom.ddd),Delivery Time (product.metafields.custom.delivery_time),Delivered Date (product.metafields.custom.launchtip_delivered_date),Delivery Timer Text Base Timer (product.metafields.custom.launchtip_delivery_timer),Estimated Arrival Date (product.metafields.custom.launchtip_estimate_arrival_date),Order Dispatch Date (product.metafields.custom.launchtip_order_dispatch_date),Order Place Date (product.metafields.custom.launchtip_order_place_date),new_yerba_dinks_fields (product.metafields.custom.new_yerba_dinks_fields),tom (product.metafields.custom.tom),toom (product.metafields.custom.toom),Top-Desk-Bulk (product.metafields.custom.top_desk_bulk),yerba-energy-drinks (product.metafields.custom.yerba_energy_drinks),EasyReviews: Rating (product.metafields.easyreview.rating),Product rating count (product.metafields.reviews.rating_count),Accessory size (product.metafields.shopify.accessory-size),Age group (product.metafields.shopify.age-group),Backrest type (product.metafields.shopify.backrest-type),Band color (product.metafields.shopify.band-color),Bat material (product.metafields.shopify.bat-material),Case color (product.metafields.shopify.case-color),Closure type (product.metafields.shopify.closure-type),Color (product.metafields.shopify.color-pattern),Fabric (product.metafields.shopify.fabric),Footwear material (product.metafields.shopify.footwear-material),Furniture/Fixture material (product.metafields.shopify.furniture-fixture-material),Headwear features (product.metafields.shopify.headwear-features),Neckline (product.metafields.shopify.neckline),Seat structure (product.metafields.shopify.seat-structure),Seat type (product.metafields.shopify.seat-type),Shoe features (product.metafields.shopify.shoe-features),Shoe size (product.metafields.shopify.shoe-size),Size (product.metafields.shopify.size),Sleeve length type (product.metafields.shopify.sleeve-length-type),Target gender (product.metafields.shopify.target-gender),Top length type (product.metafields.shopify.top-length-type),Watch display (product.metafields.shopify.watch-display),Watch features (product.metafields.shopify.watch-features),Watch material (product.metafields.shopify.watch-material),Snowboard binding mount (product.metafields.test_data.binding_mount),Snowboard length (product.metafields.test_data.snowboard_length),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / Canada,Price / Canada,Compare At Price / Canada,Status,Handle,Title,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,SKU,HS Code,COO,Shop location,My Custom Location,Snow City Warehouse
top,top,,bahadur-startbit,Uncategorized,accessories,,True,Size,L,,Color,Red,,,,,,0.0,shopify,deny,manual,20.0,,True,True,,,,,,,,,False,,,,,,,,Delivered,🚚 Order within the next {{ countdown }} for delivery by {{ deliverydate }}.,Estimated arrival,Estimated dispatch,Order placed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,True,,,active,converse-chuck-taylor-all-star-ii-hi,CONVERSE | CHUCK TAYLOR ALL STAR II HI,Size,6,Color,black,,,C-02-6-black,,,52,not stocked,not stocked
top,,,,,,,,,L,,,Black,,,,,,0.0,shopify,deny,manual,310.0,,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,,,,,converse-chuck-taylor-all-star-ii-hi,CONVERSE | CHUCK TAYLOR ALL STAR II HI,Size,7,Color,black,,,C-02-7-black,,,52,not stocked,not stocked
top,,,,,,,,,L,,,green,,,,,,0.0,shopify,deny,manual,10.0,,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,,,,,converse-chuck-taylor-all-star-ii-hi,CONVERSE | CHUCK TAYLOR ALL STAR II HI,Size,9,Color,black,,,C-02-9-black,,,52,not stocked,not stocked
top,,,,,,,,,M,,,Red,,,,,,0.0,shopify,deny,manual,200.0,,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,,,,,converse-chuck-taylor-all-star-ii-hi,CONVERSE | CHUCK TAYLOR ALL STAR II HI,Size,11,Color,black,,,C-02-11-black,,,52,not stocked,not stocked
top,,,,,,,,,M,,,Black,,,,,,0.0,shopify,deny,manual,200.0,,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,,,,,converse-chuck-taylor-all-star-ii-hi,CONVERSE | CHUCK TAYLOR ALL STAR II HI,Size,13,Color,black,,,C-02-13-black,,,52,not stocked,not stocked
top,,,,,,,,,M,,,green,,,,,,0.0,shopify,deny,manual,200.0,,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,,,,,converse-toddler-chuck-taylor-all-star-axel-mid,CONVERSE | TODDLER CHUCK TAYLOR ALL STAR AXEL MID,Size,5,Color,black,,,C-03-5-black,,,36,not stocked,not stocked
top,,,,,,,,,S,,,Red,,,,,,0.0,shopify,deny,manual,100.0,,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,,,,,converse-toddler-chuck-taylor-all-star-axel-mid,CONVERSE | TODDLER CHUCK TAYLOR ALL STAR AXEL MID,Size,6,Color,black,,,C-03-6-black,,,36,not stocked,not stocked
top,,,,,,,,,S,,,Black,,,,,,0.0,shopify,deny,manual,100.0,,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,,,,,converse-toddler-chuck-taylor-all-star-axel-mid,CONVERSE | TODDLER CHUCK TAYLOR ALL STAR AXEL MID,Size,7,Color,black,,,C-03-7-black,,,36,not stocked,not stocked
top,,,,,,,,,S,,,green,,,,,,0.0,shopify,deny,manual,100.0,,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,,,,,converse-toddler-chuck-taylor-all-star-axel-mid,CONVERSE | TODDLER CHUCK TAYLOR ALL STAR AXEL MID,Size,8,Color,black,,,C-03-8-black,,,36,not stocked,not stocked
top,,,,,,,,,XL,,,Red,,,,,,0.0,shopify,deny,manual,300.0,,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,,,,,converse-toddler-chuck-taylor-all-star-axel-mid,CONVERSE | TODDLER CHUCK TAYLOR ALL STAR AXEL MID,Size,9,Color,black,,,C-03-9-black,,,36,not stocked,not stocked
