Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / United States,Price / United States,Compare At Price / United States,Included / International,Price / International,Compare At Price / International,Status
custom-regulation-cornhole-iselworth-cc-cornhole-white-with-green-logo-1,Custom Regulation Cornhole-Iselworth CC Cornhole white with Green logo,"",MyCustomSportsChair.com,Uncategorized,"","",true,Title,Default Title,,,,,,,,,0.0,shopify,3,deny,manual,499.00,,true,true,,,,,"",,,,false,,,,,,,,,,,,,,,,kg,,,true,,,true,,,active
custom-regulation-cornhole-iselworth-cc-cornhole-white-with-green-logo,Custom Regulation Cornhole-Iselworth CC Cornhole white with Green logo,"",MyCustomSportsChair.com,Uncategorized,"","",true,Title,Default Title,,,,,,,,,0.0,shopify,5,deny,manual,499.00,,true,true,,,,,"",,,,false,,,,,,,,,,,,,,,,kg,,,true,,,true,,,active
winnipeg-blue-bombers-cfl-end-table,Winnipeg Blue Bombers CFL End Table,"<div class=""container"">
<h3 class=""features-title"">Features</h3>
<div class=""features"">
<p>Our Officially Licensed End Tables are made from the same high quality ¾ inch thick recycled resin material. The perfect addition &amp; durable for all outdoor seasons!</p>
<ul>
<li>
<span class=""icon-portable""></span> <strong>Assembled 23 lbs</strong>
</li>
<li>
<span class=""icon-ruler""></span> <strong>Box Dimensions - H – 4"", W – 13"" , L – 23""</strong>
</li>
<li>
<span class=""icon-brush""></span> <strong>Maintenance free and resistant to: moisture, fading, warping and splintering</strong>
</li>
<li>
<span class=""icon-tools""></span> <strong>Stainless Steel Hardware</strong>
</li>
<li>
<span class=""icon-recycle""></span> <strong>Made from resin</strong>
</li>
<li>
<span class=""icon-tools""></span> <strong>100% Canadian Made </strong>
</li>
</ul>
</div>
</div>",mycustomsportschair,Uncategorized,CFL Jersey End Table,"",true,Table Colour,Blue,,,,,,,,,22679.6185,shopify,1000,continue,manual,299.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/1049/2124/files/WinnipegBlueBombers_EndTable_2026.jpg?v=1775109895,1,"",false,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1049/2124/files/WinnipegBlueBombers_EndTable_2026.jpg?v=1775109895,lb,,,true,,,true,,,active
winnipeg-blue-bombers-cfl-end-table,,,,,,,,,White,,,,,,,,,22679.6185,shopify,1000,continue,manual,299.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/1049/2124/files/WinnipegBlueBombers_EndTable_2026_White.jpg?v=1775109662,2,"",,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1049/2124/files/WinnipegBlueBombers_EndTable_2026_White.jpg?v=1775109662,lb,,,,,,,,,
toronto-argonauts-cfl-end-table,Toronto Argonauts CFL End Table,"<div class=""container"">
<h3 class=""features-title"">Features</h3>
<div class=""features"">
<p>Our Officially Licensed End Tables are made from the same high quality ¾ inch thick recycled resin material. The perfect addition &amp; durable for all outdoor seasons!</p>
<ul>
<li>
<span class=""icon-portable""></span> <strong>Assembled 23 lbs</strong>
</li>
<li>
<span class=""icon-ruler""></span> <strong>Box Dimensions - H – 4"", W – 13"" , L – 23""</strong>
</li>
<li>
<span class=""icon-brush""></span> <strong>Maintenance free and resistant to: moisture, fading, warping and splintering</strong>
</li>
<li>
<span class=""icon-tools""></span> <strong>Stainless Steel Hardware</strong>
</li>
<li>
<span class=""icon-recycle""></span> <strong>Made from resin</strong>
</li>
<li>
<span class=""icon-tools""></span> <strong>100% Canadian Made </strong>
</li>
</ul>
</div>
</div>",mycustomsportschair,Uncategorized,CFL Jersey End Table,"",true,Table Colour,Blue,,,,,,,,,22679.6185,shopify,1000,continue,manual,299.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/1049/2124/files/TorontoArgonauts_EndTable_2026.jpg?v=1775109834,1,"",false,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1049/2124/files/TorontoArgonauts_EndTable_2026.jpg?v=1775109834,lb,,,true,,,true,,,active
toronto-argonauts-cfl-end-table,,,,,,,,,White,,,,,,,,,22679.6185,shopify,1000,continue,manual,299.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/1049/2124/files/TorontoArgonauts_EndTable_2026_White.jpg?v=1775109834,2,"",,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1049/2124/files/TorontoArgonauts_EndTable_2026_White.jpg?v=1775109834,lb,,,,,,,,,
saskatchewan-roughriders-cfl-end-table,Saskatchewan Roughriders CFL End Table,"<div class=""container"">
<h3 class=""features-title"">Features</h3>
<div class=""features"">
<p>Our Officially Licensed End Tables are made from the same high quality ¾ inch thick recycled resin material. The perfect addition &amp; durable for all outdoor seasons!</p>
<ul>
<li>
<span class=""icon-portable""></span> <strong>Assembled 23 lbs</strong>
</li>
<li>
<span class=""icon-ruler""></span> <strong>Box Dimensions - H – 4"", W – 13"" , L – 23""</strong>
</li>
<li>
<span class=""icon-brush""></span> <strong>Maintenance free and resistant to: moisture, fading, warping and splintering</strong>
</li>
<li>
<span class=""icon-tools""></span> <strong>Stainless Steel Hardware</strong>
</li>
<li>
<span class=""icon-recycle""></span> <strong>Made from resin</strong>
</li>
<li>
<span class=""icon-tools""></span> <strong>100% Canadian Made </strong>
</li>
</ul>
</div>
</div>",mycustomsportschair,Uncategorized,CFL Jersey End Table,"",true,Table Colour,White,,,,,,,,,22679.6185,shopify,1000,continue,manual,299.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/1049/2124/files/SaskatchewanRoughriders_EndTable_2026.jpg?v=1775109732,1,"",false,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1049/2124/files/SaskatchewanRoughriders_EndTable_2026.jpg?v=1775109732,lb,,,true,,,true,,,active
saskatchewan-roughriders-cfl-end-table,,,,,,,,,Black,,,,,,,,,22679.6185,shopify,1000,continue,manual,299.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/1049/2124/files/SaskatchewanRoughriders_EndTable_2026_Black.jpg?v=1775109732,2,"",,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1049/2124/files/SaskatchewanRoughriders_EndTable_2026_Black.jpg?v=1775109732,lb,,,,,,,,,
ottawa-redblacks-cfl-end-table,Ottawa RedBlacks CFL End Table,"<div class=""container"">
<h3 class=""features-title"">Features</h3>
<div class=""features"">
<p>Our Officially Licensed End Tables are made from the same high quality ¾ inch thick recycled resin material. The perfect addition &amp; durable for all outdoor seasons!</p>
<ul>
<li>
<span class=""icon-portable""></span> <strong>Assembled 23 lbs</strong>
</li>
<li>
<span class=""icon-ruler""></span> <strong>Box Dimensions - H – 4"", W – 13"" , L – 23""</strong>
</li>
<li>
<span class=""icon-brush""></span> <strong>Maintenance free and resistant to: moisture, fading, warping and splintering</strong>
</li>
<li>
<span class=""icon-tools""></span> <strong>Stainless Steel Hardware</strong>
</li>
<li>
<span class=""icon-recycle""></span> <strong>Made from resin</strong>
</li>
<li>
<span class=""icon-tools""></span> <strong>100% Canadian Made </strong>
</li>
</ul>
</div>
</div>",mycustomsportschair,Uncategorized,CFL Jersey End Table,"",true,Table Colour,Red,,,,,,,,,22679.6185,shopify,1000,continue,manual,299.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/1049/2124/files/OttawaRedBlacks_EndTable_2026.jpg?v=1775109571,1,"",false,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1049/2124/files/OttawaRedBlacks_EndTable_2026.jpg?v=1775109571,lb,,,true,,,true,,,active
ottawa-redblacks-cfl-end-table,,,,,,,,,Black,,,,,,,,,22679.6185,shopify,1000,continue,manual,299.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/1049/2124/files/OttawaRedBlacks_EndTable_2026_Black.jpg?v=1775109571,2,"",,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1049/2124/files/OttawaRedBlacks_EndTable_2026_Black.jpg?v=1775109571,lb,,,,,,,,,
montreal-alouettes-cfl-end-table,Montreal Alouettes CFL End Table,"<div class=""container"">
<h3 class=""features-title"">Features</h3>
<div class=""features"">
<p>Our Officially Licensed End Tables are made from the same high quality ¾ inch thick recycled resin material. The perfect addition &amp; durable for all outdoor seasons!</p>
<ul>
<li>
<span class=""icon-portable""></span> <strong>Assembled 23 lbs</strong>
</li>
<li>
<span class=""icon-ruler""></span> <strong>Box Dimensions - H – 4"", W – 13"" , L – 23""</strong>
</li>
<li>
<span class=""icon-brush""></span> <strong>Maintenance free and resistant to: moisture, fading, warping and splintering</strong>
</li>
<li>
<span class=""icon-tools""></span> <strong>Stainless Steel Hardware</strong>
</li>
<li>
<span class=""icon-recycle""></span> <strong>Made from resin</strong>
</li>
<li>
<span class=""icon-tools""></span> <strong>100% Canadian Made </strong>
</li>
</ul>
</div>
</div>",mycustomsportschair,Uncategorized,CFL Jersey End Table,"",true,Table Colour,Black,,,,,,,,,22679.6185,shopify,1000,continue,manual,299.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/1049/2124/files/MontrealAlouettes_EndTable_2026_Black.jpg?v=1775109265,1,"",false,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1049/2124/files/MontrealAlouettes_EndTable_2026_Black.jpg?v=1775109265,lb,,,true,,,true,,,active
montreal-alouettes-cfl-end-table,,,,,,,,,Red,,,,,,,,,22679.6185,shopify,1000,continue,manual,299.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/1049/2124/files/MontrealAlouettes_EndTable_2026.jpg?v=1775109265,2,"",,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1049/2124/files/MontrealAlouettes_EndTable_2026.jpg?v=1775109265,lb,,,,,,,,,
hamilton-tiger-cats-cfl-end-table,Hamilton Tiger-Cats CFL End Table,"<div class=""container"">
<h3 class=""features-title"">Features</h3>
<div class=""features"">
<p>Our Officially Licensed End Tables are made from the same high quality ¾ inch thick recycled resin material. The perfect addition &amp; durable for all outdoor seasons!</p>
<ul>
<li>
<span class=""icon-portable""></span> <strong>Assembled 23 lbs</strong>
</li>
<li>
<span class=""icon-ruler""></span> <strong>Box Dimensions - H – 4"", W – 13"" , L – 23""</strong>
</li>
<li>
<span class=""icon-brush""></span> <strong>Maintenance free and resistant to: moisture, fading, warping and splintering</strong>
</li>
<li>
<span class=""icon-tools""></span> <strong>Stainless Steel Hardware</strong>
</li>
<li>
<span class=""icon-recycle""></span> <strong>Made from resin</strong>
</li>
<li>
<span class=""icon-tools""></span> <strong>100% Canadian Made </strong>
</li>
</ul>
</div>
</div>",mycustomsportschair,Uncategorized,CFL Jersey End Table,"",true,Table Colour,Black,,,,,,,,,22679.6185,shopify,1000,continue,manual,299.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/1049/2124/files/HamiltonTi-Cats_EndTable_2026.jpg?v=1775109177,1,"",false,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1049/2124/files/HamiltonTi-Cats_EndTable_2026.jpg?v=1775109177,lb,,,true,,,true,,,active
hamilton-tiger-cats-cfl-end-table,,,,,,,,,White,,,,,,,,,22679.6185,shopify,1000,continue,manual,299.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/1049/2124/files/HamiltonTi-Cats_EndTable_2026_White.jpg?v=1775109157,2,"",,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1049/2124/files/HamiltonTi-Cats_EndTable_2026_White.jpg?v=1775109157,lb,,,,,,,,,
edmonton-elks-cfl-end-table,Edmonton Elks CFL End Table,"<div class=""container"">
<h3 class=""features-title"">Features</h3>
<div class=""features"">
<p>Our Officially Licensed End Tables are made from the same high quality ¾ inch thick recycled resin material. The perfect addition &amp; durable for all outdoor seasons!</p>
<ul>
<li>
<span class=""icon-portable""></span> <strong>Assembled 23 lbs</strong>
</li>
<li>
<span class=""icon-ruler""></span> <strong>Box Dimensions - H – 4"", W – 13"" , L – 23""</strong>
</li>
<li>
<span class=""icon-brush""></span> <strong>Maintenance free and resistant to: moisture, fading, warping and splintering</strong>
</li>
<li>
<span class=""icon-tools""></span> <strong>Stainless Steel Hardware</strong>
</li>
<li>
<span class=""icon-recycle""></span> <strong>Made from resin</strong>
</li>
<li>
<span class=""icon-tools""></span> <strong>100% Canadian Made </strong>
</li>
</ul>
</div>
</div>",mycustomsportschair,Uncategorized,CFL Jersey End Table,"",true,Table Colour,Black,,,,,,,,,22679.6185,shopify,1000,continue,manual,299.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/1049/2124/files/EdmontonEskimos_EndTable_2026_Black.jpg?v=1775108730,1,"",false,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1049/2124/files/EdmontonEskimos_EndTable_2026_Black.jpg?v=1775108730,lb,,,true,,,true,,,active
edmonton-elks-cfl-end-table,,,,,,,,,White,,,,,,,,,22679.6185,shopify,1000,continue,manual,299.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/1049/2124/files/EdmontonEskimos_EndTable_2026.jpg?v=1775108730,2,"",,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1049/2124/files/EdmontonEskimos_EndTable_2026.jpg?v=1775108730,lb,,,,,,,,,
calgary-stampeders-cfl-end-table,Calgary Stampeders CFL End Table,"<div class=""container"">
<h3 class=""features-title"">Features</h3>
<div class=""features"">
<p>Our Officially Licensed End Tables are made from the same high quality ¾ inch thick recycled resin material. The perfect addition &amp; durable for all outdoor seasons!</p>
<ul>
<li>
<span class=""icon-portable""></span> <strong>Assembled 23 lbs</strong>
</li>
<li>
<span class=""icon-ruler""></span> <strong>Box Dimensions - H – 4"", W – 13"" , L – 23""</strong>
</li>
<li>
<span class=""icon-brush""></span> <strong>Maintenance free and resistant to: moisture, fading, warping and splintering</strong>
</li>
<li>
<span class=""icon-tools""></span> <strong>Stainless Steel Hardware</strong>
</li>
<li>
<span class=""icon-recycle""></span> <strong>Made from resin</strong>
</li>
<li>
<span class=""icon-tools""></span> <strong>100% Canadian Made </strong>
</li>
</ul>
</div>
</div>",mycustomsportschair,Uncategorized,CFL Jersey End Table,"",true,Table Colour,Red,,,,,,,,,22679.6185,shopify,1000,continue,manual,299.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/1049/2124/files/Calgary_Stampeders_End_Table_2026_White.jpg?v=1775108378,1,"",false,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1049/2124/files/Calgary_Stampeders_End_Table_2026.jpg?v=1775108378,lb,,,true,,,true,,,active
calgary-stampeders-cfl-end-table,,,,,,,,,White,,,,,,,,,22679.6185,shopify,1000,continue,manual,299.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/1049/2124/files/Calgary_Stampeders_End_Table_2026.jpg?v=1775108378,2,"",,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1049/2124/files/Calgary_Stampeders_End_Table_2026_White.jpg?v=1775108378,lb,,,,,,,,,
bc-lions-cfl-end-table,BC Lions CFL End Table,"<div class=""container"">
<h3 class=""features-title"">Features</h3>
<div class=""features"">
<p>Our Officially Licensed End Tables are made from the same high quality ¾ inch thick recycled resin material. The perfect addition &amp; durable for all outdoor seasons!</p>
<ul>
<li>
<span class=""icon-portable""></span> <strong>Assembled 23 lbs</strong>
</li>
<li>
<span class=""icon-ruler""></span> <strong>Box Dimensions - H – 4"", W – 13"" , L – 23""</strong>
</li>
<li>
<span class=""icon-brush""></span> <strong>Maintenance free and resistant to: moisture, fading, warping and splintering</strong>
</li>
<li>
<span class=""icon-tools""></span> <strong>Stainless Steel Hardware</strong>
</li>
<li>
<span class=""icon-recycle""></span> <strong>Made from resin</strong>
</li>
<li>
<span class=""icon-tools""></span> <strong>100% Canadian Made </strong>
</li>
</ul>
</div>
</div>",mycustomsportschair,Uncategorized,CFL Jersey End Table,"",true,Table Colour,White,,,,,,,,,22679.6185,shopify,1000,continue,manual,299.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/1049/2124/files/BCLions_EndTable_2026_White.jpg?v=1775106432,1,"",false,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1049/2124/files/BCLions_EndTable_2026_White.jpg?v=1775106432,lb,,,true,,,true,,,active
bc-lions-cfl-end-table,,,,,,,,,Black,,,,,,,,,22679.6185,shopify,1000,continue,manual,299.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/1049/2124/files/BCLions_EndTable_2026.jpg?v=1775106432,2,"",,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1049/2124/files/BCLions_EndTable_2026.jpg?v=1775106432,lb,,,,,,,,,
nhl-linesman-cornhole-regulation-size,NHL® Linesman Cornhole Regulation Size,"<div class=""container"">
<img class=""img-responsive desk-height"" alt=""dimension_image"" src=""//cdn.shopify.com/s/files/1/0889/9402/files/Cornhole-Dimensions_Grey.jpg?v=1695796824"">
<h3 class=""features-title"">Features</h3>
<div class=""features"">
<p>If you are looking to tailgate like a pro or add some excitement to your next backyard party, our 100% Canadian Made Resin Cornhole Boards are perfect for you! In addition to providing endless fun at home, our cornhole sets are built to last for years to come! Made from ¾ thick resin material &amp; stainless steel screws, our boards can last outdoors in any element! All of our games are easy to store, transport and setup, so you can focus on more important things! Our Regulation Size board is meant for your official league! Durable and built to last season after season!</p>
<div class=""row"">
<div class=""col-md-6"">
<ul>
<li><strong>Includes 2 cornhole boards and 8 bags </strong></li>
<li><strong>100% Canadian Made </strong></li>
<li><strong>Resin Material </strong></li>
<li><strong>25 year warranty</strong></li>
<li><strong>Each Regulation Size Cornhole board in set weights 43 LBS</strong></li>
</ul>
</div>
<div class=""col-md-6""><img src=""//cdn.shopify.com/s/files/1/0889/9402/files/Cornhole_Bags.jpg?v=1698756185"" alt=""dimension_image"" class=""img-responsive"" style=""height: 200px; padding-top: 3%;""></div>
</div>
</div>
</div>",mycustomsportschair,Uncategorized,default,"",true,Cornhole Colour,Black,,,,,,,,,22679.6185,shopify,1000,continue,manual,499.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/1049/2124/files/NHL_Cornhole_NHL_2026_MockUp_BLACK.jpg?v=1774848341,1,"",false,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1049/2124/files/NHL_Cornhole_NHL_2026_MockUp_BLACK.jpg?v=1774848341,lb,,,true,,,true,,,active
